timestamp_ms,value
2039,0
2068,100
2072,200
2131,300
2135,400
2139,500
2144,600
2148,700
2152,800
2156,900
2160,1000
2467,1100
2475,1200
2555,1300
2568,1400
2572,1500
2577,1600
2581,1700
2587,1800
2591,1900
2595,2000
2800,2100
2805,2200
2821,2300
2879,2400
2883,2500
2887,2600
2891,2700
2895,2800
2899,2900
2904,3000
3135,3100
3143,3200
3149,3300
3191,3400
3196,3500
3200,3600
3204,3700
3211,3800
3215,3900
3219,4000
3403,4100
3413,4200
3420,4300
3426,4400
3432,4500
3441,4600
3465,4700
3470,4800
3475,4900
3480,5000
3791,5100
3840,5200
3854,5300
3861,5400
3868,5500
3872,5600
3876,5700
3893,5800
3903,5900
3907,6000
4093,6100
4100,6200
4107,6300
4112,6400
4117,6500
4123,6600
4131,6700
4146,6800
4152,6900
4156,7000
4409,7100
4429,7200
4437,7300
4443,7400
4450,7500
4455,7600
4465,7700
4472,7800
4476,7900
4484,8000
4650,8100
4657,8200
4704,8300
4717,8400
4721,8500
4725,8600
4729,8700
4734,8800
4738,8900
4742,9000
5005,9100
5015,9200
5040,9300
5049,9400
5060,9500
5065,9600
5079,9700
5085,9800
5089,9900
5093,10000
5260,10100
5309,10200
5318,10300
5322,10400
5326,10500
5331,10600
5335,10700
5339,10800
5343,10900
5347,11000
5578,11100
5586,11200
5593,11300
5612,11400
5625,11500
5631,11600
5640,11700
5643,11800
5647,11900
5660,12000
5842,12100
5849,12200
5855,12300
5861,12400
5870,12500
5897,12600
5901,12700
5905,12800
5909,12900
5913,13000
6261,13100
6269,13200
6277,13300
6285,13400
6291,13500
6304,13600
6313,13700
6316,13800
6320,13900
6329,14000
6515,14100
6523,14200
6531,14300
6540,14400
6548,14500
6555,14600
6580,14700
6585,14800
6589,14900
6593,15000
6812,15100
6827,15200
6837,15300
6851,15400
6859,15500
6866,15600
6874,15700
6884,15800
6898,15900
6906,16000
7070,16100
7078,16200
7085,16300
7091,16400
7102,16500
7115,16600
7123,16700
7128,16800
7132,16900
7142,17000
7365,17100
7381,17200
7386,17300
7391,17400
7418,17500
7445,17600
7450,17700
7454,17800
7458,17900
7462,18000
7627,18100
7633,18200
7639,18300
7645,18400
7669,18500
7676,18600
7681,18700
7685,18800
7689,18900
7693,19000
7878,19100
7957,19200
7963,19300
7967,19400
7971,19500
7975,19600
7979,19700
7984,19800
7988,19900
7992,20000
8168,20100
8175,20200
8182,20300
8193,20400
8223,20500
8228,20600
8241,20700
8247,20800
8251,20900
8255,21000
8575,21100
8581,21200
8586,21300
8669,21400
8677,21500
8681,21600
8685,21700
8689,21800
8693,21900
8696,22000
8882,22100
8890,22200
8896,22300
8903,22400
8912,22500
8938,22600
8944,22700
8948,22800
8978,22900
8982,23000
9148,23100
9155,23200
9161,23300
9166,23400
9171,23500
9177,23600
9193,23700
9207,23800
9212,23900
9216,24000
9395,24100
9408,24200
9414,24300
9471,24400
9488,24500
9496,24600
9500,24700
9504,24800
9509,24900
9513,25000
9867,25100
9872,25200
9910,25300
9915,25400
9920,25500
9925,25600
9929,25700
9953,25800
9957,25900
9961,26000
10154,26100
10164,26200
10171,26300
10180,26400
10205,26500
10209,26600
10214,26700
10218,26800
10222,26900
10230,27000
10417,27100
10447,27200
10453,27300
10460,27400
10464,27500
10470,27600
10474,27700
10491,27800
10495,27900
10499,28000
10712,28100
10736,28200
10741,28300
10775,28400
10779,28500
10792,28600
10796,28700
10803,28800
10806,28900
10810,29000
11083,29100
11094,29200
11137,29300
11145,29400
11152,29500
11167,29600
11175,29700
11184,29800
11193,29900
11215,30000
11407,30100
11414,30200
11420,30300
11426,30400
11431,30500
11436,30600
11450,30700
11459,30800
11519,30900
11525,31000
11712,31100
11718,31200
11724,31300
11729,31400
11734,31500
11739,31600
11744,31700
11748,31800
11753,31900
11759,32000
11964,32100
11984,32200
11992,32300
12001,32400
12006,32500
12024,32600
12030,32700
12034,32800
12047,32900
12053,33000
12440,33100
12468,33200
12472,33300
12476,33400
12480,33500
12485,33600
12489,33700
12543,33800
12547,33900
12551,34000
12736,34100
12744,34200
12751,34300
12756,34400
12762,34500
12768,34600
12773,34700
12780,34800
12846,34900
12850,35000
13039,35100
13046,35200
13052,35300
13058,35400
13075,35500
13081,35600
13086,35700
13090,35800
13098,35900
13113,36000
13307,36100
13316,36200
13323,36300
13329,36400
13335,36500
13340,36600
13350,36700
13360,36800
13368,36900
13374,37000
13725,37100
13745,37200
13758,37300
13772,37400
13791,37500
13796,37600
13800,37700
13804,37800
13813,37900
13833,38000
14027,38100
14036,38200
14042,38300
14048,38400
14054,38500
14061,38600
14069,38700
14085,38800
14089,38900
14114,39000
14352,39100
14356,39200
14368,39300
14374,39400
14378,39500
14382,39600
14386,39700
14390,39800
14394,39900
14399,40000
14651,40100
14657,40200
14661,40300
14665,40400
14670,40500
14674,40600
14678,40700
14682,40800
14687,40900
14691,41000
15097,41100
15120,41200
15135,41300
15140,41400
15149,41500
15158,41600
15166,41700
15203,41800
15209,41900
15213,42000
15400,42100
15408,42200
15414,42300
15421,42400
15435,42500
15440,42600
15446,42700
15456,42800
15469,42900
15476,43000
15664,43100
15701,43200
15707,43300
15711,43400
15716,43500
15721,43600
15744,43700
15749,43800
15754,43900
15763,44000
15952,44100
15960,44200
15967,44300
15976,44400
16015,44500
16019,44600
16023,44700
16027,44800
16031,44900
16036,45000
16378,45100
16388,45200
16398,45300
16407,45400
16416,45500
16457,45600
16477,45700
16481,45800
16485,45900
16490,46000
16675,46100
16684,46200
16691,46300
16696,46400
16703,46500
16708,46600
16715,46700
16725,46800
16732,46900
16739,47000
16925,47100
16931,47200
16936,47300
16942,47400
16947,47500
16952,47600
16956,47700
16960,47800
16965,47900
16970,48000
17219,48100
17226,48200
17234,48300
17242,48400
17251,48500
17259,48600
17265,48700
17274,48800
17281,48900
17288,49000
17698,49100
17711,49200
17728,49300
17737,49400
17746,49500
17754,49600
17762,49700
17769,49800
17777,49900
17785,50000
17975,50100
17988,50200
18001,50300
18011,50400
18020,50500
18027,50600
18034,50700
18042,50800
18050,50900
18057,51000
18252,51100
18266,51200
18278,51300
18287,51400
18296,51500
18304,51600
18311,51700
18326,51800
18331,51900
18337,52000
18535,52100
18545,52200
18556,52300
18565,52400
18574,52500
18582,52600
18588,52700
18596,52800
18604,52900
18612,53000
18992,53100
19002,53200
19012,53300
19024,53400
19032,53500
19037,53600
19046,53700
19053,53800
19061,53900
19068,54000
19256,54100
19266,54200
19276,54300
19287,54400
19294,54500
19303,54600
19309,54700
19318,54800
19325,54900
19333,55000
19523,55100
19535,55200
19546,55300
19554,55400
19564,55500
19571,55600
19582,55700
19587,55800
19650,55900
19655,56000
19842,56100
19851,56200
19859,56300
19866,56400
19872,56500
19878,56600
19883,56700
19888,56800
19894,56900
19902,57000
20329,57100
20344,57200
20352,57300
20361,57400
20370,57500
20378,57600
20385,57700
20395,57800
20400,57900
20408,58000
20603,58100
20615,58200
20627,58300
20681,58400
20685,58500
20690,58600
20696,58700
20701,58800
20706,58900
20710,59000
20906,59100
20919,59200
20928,59300
20940,59400
20949,59500
20958,59600
21024,59700
21029,59800
21034,59900
21040,60000
21236,60100
21245,60200
21253,60300
21259,60400
21267,60500
21273,60600
21279,60700
21285,60800
21299,60900
21306,61000
21742,61100
21750,61200
21763,61300
21773,61400
21781,61500
21790,61600
21797,61700
21806,61800
21813,61900
21821,62000
22016,62100
22029,62200
22038,62300
22049,62400
22058,62500
22067,62600
22075,62700
22083,62800
22091,62900
22098,63000
22286,63100
22297,63200
22307,63300
22318,63400
22328,63500
22335,63600
22342,63700
22350,63800
22358,63900
22365,64000
22553,64100
22561,64200
22590,64300
22596,64400
22601,64500
22607,64600
22614,64700
22621,64800
22629,64900
22636,65000
22997,65100
23002,65200
23011,65300
23022,65400
23030,65500
23061,65600
23068,65700
23075,65800
23082,65900
23090,66000
23295,66100
23307,66200
