timestamp_ms,phys_footprint,phys_footprint_peak
0,49283072,49283072
5288,209715200,209715200
10612,219152384,219152384
15947,229638144,229638144
21289,240123904,240123904
26635,261095424,261095424
32016,277872640,277872640
37375,310378496,311427072
42750,354418688,354418688
48140,437256192,443547648
53468,588251136,606076928
58803,686817280,745537536
64149,869269504,907018240
69505,1116733440,1116733440
74860,1172307968,1306525696
80216,1514143744,1535115264
85563,1915748352,1923088384
90898,1988100096,2126512128
96249,2386558976,2420113408
101576,2640314368,2656043008
106915,2947547136,2950692864
112276,3083862016,3251634176
117598,3489660928,3519021056
122953,4020240384,4020240384
128282,4404019200,4423942144
133627,4728029184,4729077760
138977,4797235200,4830789632
144313,4739563520,4932501504
149702,4919918592,5007998976
155079,4998561792,5032116224
160454,4950327296,5057282048
165798,4857004032,5057282048
171175,4930404352,5057282048
176528,4763680768,5057282048
181889,4959764480,5057282048
187257,4983881728,5076156416
192616,4946132992,5093982208
197985,4951375872,5093982208
203349,4772069376,5093982208
208686,4829741056,5093982208
214059,4889509888,5200936960
219405,5199888384,5238685696
224748,4971298816,5257560064
230111,5108662272,5257560064
235490,4982833152,5257560064
240831,5178916864,5280628736
246166,5417992192,5417992192
251534,4969201664,5502926848
256903,5336203264,5502926848
262305,5001707520,5502926848
267668,5021630464,5502926848
273062,5127536640,5502926848
278430,5300551680,5502926848
283782,5081399296,5502926848
289179,5157945344,5502926848
294561,5195694080,5502926848
299935,5263851520,5502926848
305311,5092933632,5502926848
310677,5149556736,5502926848
316073,5194645504,5502926848
321431,5097127936,5502926848
326812,5296357376,5502926848
332197,5313134592,5676990464
337553,5321523200,5676990464
342934,5295308800,5706350592
348312,5205131264,5706350592
353718,5414846464,5706350592
359065,5092933632,5706350592
364453,5552209920,5706350592
369831,5495586816,5706350592
375209,5314183168,5706350592
380639,5649727488,5706350592
386033,5295308800,5797576704
391418,5256511488,5797576704
396801,5370806272,5797576704
402204,5234491392,5797576704
407612,5726273536,5797576704
412998,5303697408,5797576704
418383,5706350592,5797576704
423774,5652873216,5797576704
429175,5195694080,5844762624
434564,5425332224,5844762624
439987,5073010688,5844762624
445362,5673844736,5844762624
450751,5427429376,5847908352
456185,5366611968,5847908352
461584,5340397568,5892997120
466993,5877268480,5892997120
472402,5491392512,5918162944
477779,5848956928,6083837952
483187,5367660544,6395265024
488563,5575278592,6395265024
493976,6077546496,6395265024
499390,5750390784,6758072320
504804,5675941888,6758072320
510234,5632950272,6758072320
515642,6062866432,6758072320
521083,5934940160,6758072320
526491,5734662144,6758072320
531901,6076497920,6758072320
537267,5515509760,6758072320
542666,6282018816,6758072320
548083,6051332096,6758072320
553474,5838471168,6758072320
558874,5673844736,6758072320
564271,5578424320,6758072320
569650,5780799488,6758072320
575059,6210715648,6758072320
580477,5742002176,6758072320
585887,6737100800,6767509504
591307,6554648576,6790578176
596695,6370099200,6790578176
602063,5596250112,6790578176
607451,5311037440,6790578176
612850,5804916736,6790578176
618291,6041894912,6790578176
623756,5888802816,6790578176
629234,6119489536,6790578176
634715,6278873088,6790578176
640180,6716129280,6790578176
645648,6376390656,6802112512
651153,6438256640,6802112512
656621,6412042240,6802112512
662116,5952765952,6802112512
667597,6255804416,6802112512
673110,5908725760,6802112512
678604,6142558208,6802112512
684075,6415187968,6802112512
689556,6099566592,6802112512
695004,6045040640,6802112512
700429,6112149504,6802112512
705905,6234832896,6802112512
711416,5790236672,6802112512
716897,6054477824,6802112512
722422,5776605184,6802112512
727858,6298796032,6802112512
733314,6530531328,6802112512
738800,6025117696,6802112512
744267,6194987008,6802112512
749733,5807013888,6802112512
755199,5629804544,6802112512
760688,6576668672,6802112512
766101,6565134336,6802112512
771546,5857345536,6802112512
776966,5681184768,6802112512
782447,5682233344,6802112512
787938,5984223232,6802112512
793452,5819596800,6802112512
798910,6625951744,6802112512
804421,6318718976,6802112512
809928,6021971968,6802112512
815428,5942280192,6802112512
820878,5990514688,6802112512
826407,5748293632,6802112512
831838,6554648576,6802112512
837308,6371147776,6802112512
842741,6427770880,6802112512
848208,5842665472,6826229760
853717,6135218176,6826229760
859145,7118782464,7159676928
864635,6243221504,7159676928
870149,6623854592,7159676928
875627,6144655360,7159676928
881121,6124732416,7159676928
886573,6316621824,7159676928
892071,6132072448,7159676928
897524,6386876416,7159676928
902970,6133121024,7159676928
908435,5759827968,7159676928
913928,6484393984,7159676928
919412,7014973440,7159676928
924846,6717177856,7411335168
930275,7301234688,7445938176
935788,6822035456,7445938176
941241,6225395712,7445938176
946729,5902434304,7445938176
952161,6265241600,7445938176
957700,6517948416,7445938176
963267,6234832896,7445938176
968685,6487539712,7445938176
974123,6467616768,7445938176
979536,6074400768,7445938176
984984,6827278336,7445938176
990433,6433013760,7624196096
995925,7501512704,7624196096
1001390,6797918208,7854882816
1006835,7565475840,7854882816
1012299,6946816000,7854882816
1017756,6337593344,7854882816
1023201,6823084032,7854882816
1028690,6547308544,7854882816
1034175,6642728960,7854882816
1039608,7429160960,7854882816
1045082,6335496192,7854882816
1050579,6133121024,7854882816
1056032,6826229760,7854882816
1061565,7138705408,7854882816
1067051,6911164416,7854882816
1072485,6250561536,7854882816
1078017,6235881472,7854882816
1083507,6449790976,7854882816
1089031,7437549568,7854882816
1094485,6554648576,7854882816
1099900,6334447616,7854882816
1105394,7492075520,7854882816
1110893,6742343680,7854882816
1116359,6416236544,7854882816
1121817,6349127680,7854882816
1127248,7006584832,7854882816
1132789,6582960128,7854882816
1138242,5997854720,7854882816
1143677,6522142720,7854882816
1149114,6392119296,7854882816
1154596,6899630080,7854882816
1160068,6187646976,7854882816
1165538,6707740672,7854882816
1171124,6457131008,7854882816
1176582,6056574976,7854882816
1182064,7060062208,7854882816
1187544,6628048896,7854882816
1192992,7797211136,7916748800
1198537,7682916352,7916748800
1203985,6634340352,7916748800
1209486,7415529472,7916748800
1214981,6645874688,7916748800
1220454,7884242944,7955546112
1226016,7423918080,7955546112
1231520,7570718720,8178892800
1236984,7538212864,8178892800
1242462,6395265024,8178892800
1247897,6575620096,8178892800
1253378,6586105856,8178892800
1258834,7098859520,8178892800
